S4-a 로컬 실측 2026-09-09 12:41:44 HEAD=751101ca
OK 200 http://localhost:4351/vi canonical=https://tseng-law.com/vi hreflang=9 self=1 xdef=https://tseng-law.com/en
OK 200 http://localhost:4351/vi/services canonical=https://tseng-law.com/vi/services hreflang=9 self=1 xdef=https://tseng-law.com/en/services
OK 200 http://localhost:4351/vi/about canonical=https://tseng-law.com/vi/about hreflang=9 self=1 xdef=https://tseng-law.com/en/about
OK 200 http://localhost:4351/vi/lawyers canonical=https://tseng-law.com/vi/lawyers hreflang=9 self=1 xdef=https://tseng-law.com/en/lawyers
OK 200 http://localhost:4351/vi/pricing canonical=https://tseng-law.com/vi/pricing hreflang=9 self=1 xdef=https://tseng-law.com/en/pricing
OK 200 http://localhost:4351/vi/contact canonical=https://tseng-law.com/vi/contact hreflang=9 self=1 xdef=https://tseng-law.com/en/contact
OK 200 http://localhost:4351/vi/faq canonical=https://tseng-law.com/vi/faq hreflang=8 self=1 xdef=https://tseng-law.com/ko/faq
OK 200 http://localhost:4351/vi/privacy canonical=https://tseng-law.com/vi/privacy hreflang=9 self=1 xdef=https://tseng-law.com/en/privacy
OK 200 http://localhost:4351/vi/disclaimer canonical=https://tseng-law.com/vi/disclaimer hreflang=9 self=1 xdef=https://tseng-law.com/en/disclaimer
OK 200 http://localhost:4351/vi/columns canonical=https://tseng-law.com/vi/columns hreflang=9 self=1 xdef=https://tseng-law.com/en/columns
OK 200 http://localhost:4351/id canonical=https://tseng-law.com/id hreflang=9 self=1 xdef=https://tseng-law.com/en
OK 200 http://localhost:4351/id/services canonical=https://tseng-law.com/id/services hreflang=9 self=1 xdef=https://tseng-law.com/en/services
OK 200 http://localhost:4351/id/about canonical=https://tseng-law.com/id/about hreflang=9 self=1 xdef=https://tseng-law.com/en/about
OK 200 http://localhost:4351/id/lawyers canonical=https://tseng-law.com/id/lawyers hreflang=9 self=1 xdef=https://tseng-law.com/en/lawyers
OK 200 http://localhost:4351/id/pricing canonical=https://tseng-law.com/id/pricing hreflang=9 self=1 xdef=https://tseng-law.com/en/pricing
OK 200 http://localhost:4351/id/contact canonical=https://tseng-law.com/id/contact hreflang=9 self=1 xdef=https://tseng-law.com/en/contact
OK 200 http://localhost:4351/id/faq canonical=https://tseng-law.com/id/faq hreflang=8 self=1 xdef=https://tseng-law.com/ko/faq
OK 200 http://localhost:4351/id/privacy canonical=https://tseng-law.com/id/privacy hreflang=9 self=1 xdef=https://tseng-law.com/en/privacy
OK 200 http://localhost:4351/id/disclaimer canonical=https://tseng-law.com/id/disclaimer hreflang=9 self=1 xdef=https://tseng-law.com/en/disclaimer
OK 200 http://localhost:4351/id/columns canonical=https://tseng-law.com/id/columns hreflang=9 self=1 xdef=https://tseng-law.com/en/columns
OK 200 http://localhost:4351/th canonical=https://tseng-law.com/th hreflang=9 self=1 xdef=https://tseng-law.com/en
OK 200 http://localhost:4351/th/services canonical=https://tseng-law.com/th/services hreflang=9 self=1 xdef=https://tseng-law.com/en/services
OK 200 http://localhost:4351/th/about canonical=https://tseng-law.com/th/about hreflang=9 self=1 xdef=https://tseng-law.com/en/about
OK 200 http://localhost:4351/th/lawyers canonical=https://tseng-law.com/th/lawyers hreflang=9 self=1 xdef=https://tseng-law.com/en/lawyers
OK 200 http://localhost:4351/th/pricing canonical=https://tseng-law.com/th/pricing hreflang=9 self=1 xdef=https://tseng-law.com/en/pricing
OK 200 http://localhost:4351/th/contact canonical=https://tseng-law.com/th/contact hreflang=9 self=1 xdef=https://tseng-law.com/en/contact
OK 200 http://localhost:4351/th/faq canonical=https://tseng-law.com/th/faq hreflang=8 self=1 xdef=https://tseng-law.com/ko/faq
OK 200 http://localhost:4351/th/privacy canonical=https://tseng-law.com/th/privacy hreflang=9 self=1 xdef=https://tseng-law.com/en/privacy
OK 200 http://localhost:4351/th/disclaimer canonical=https://tseng-law.com/th/disclaimer hreflang=9 self=1 xdef=https://tseng-law.com/en/disclaimer
OK 200 http://localhost:4351/th/columns canonical=https://tseng-law.com/th/columns hreflang=9 self=1 xdef=https://tseng-law.com/en/columns
OK 200 http://localhost:4351/fil canonical=https://tseng-law.com/fil hreflang=9 self=1 xdef=https://tseng-law.com/en
OK 200 http://localhost:4351/fil/services canonical=https://tseng-law.com/fil/services hreflang=9 self=1 xdef=https://tseng-law.com/en/services
OK 200 http://localhost:4351/fil/about canonical=https://tseng-law.com/fil/about hreflang=9 self=1 xdef=https://tseng-law.com/en/about
OK 200 http://localhost:4351/fil/lawyers canonical=https://tseng-law.com/fil/lawyers hreflang=9 self=1 xdef=https://tseng-law.com/en/lawyers
OK 200 http://localhost:4351/fil/pricing canonical=https://tseng-law.com/fil/pricing hreflang=9 self=1 xdef=https://tseng-law.com/en/pricing
OK 200 http://localhost:4351/fil/contact canonical=https://tseng-law.com/fil/contact hreflang=9 self=1 xdef=https://tseng-law.com/en/contact
OK 200 http://localhost:4351/fil/faq canonical=https://tseng-law.com/fil/faq hreflang=8 self=1 xdef=https://tseng-law.com/ko/faq
OK 200 http://localhost:4351/fil/privacy canonical=https://tseng-law.com/fil/privacy hreflang=9 self=1 xdef=https://tseng-law.com/en/privacy
OK 200 http://localhost:4351/fil/disclaimer canonical=https://tseng-law.com/fil/disclaimer hreflang=9 self=1 xdef=https://tseng-law.com/en/disclaimer
OK 200 http://localhost:4351/fil/columns canonical=https://tseng-law.com/fil/columns hreflang=9 self=1 xdef=https://tseng-law.com/en/columns
BAD=0 / 40
